"Selected population characteristics, Canada, ecozones and ecoregions" 1 2 3 4
"Every 5 years"
"Table: 38-10-0047-01 (formerly CANSIM 153-0057)"
"Geography: Canada, Ecozone, Ecoregion"

"Geography4","Population characteristics","1996","2001","2006","2011","2016"
"Pacific Maritime (ecozone)","Total population","2,848,289","3,027,409","3,215,780","3,466,870","3,681,140"
,"Population in population centres 5","2,523,582","2,742,725","2,925,153","3,172,742","3,384,055"
,"Population in rural areas 5","324,707","284,684","290,627","294,128","297,085"
,"","Number per square kilometre",,,,
,"Total population density","14.187","15.079","16.017","17.268","18.335"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","88.6","90.6","91.0","91.5","91.9"
,"Population in rural areas as a share of total population 5","11.4","9.4","9.0","8.5","8.1"
,"","Number",,,,
,"Private occupied dwellings 6","1,091,018","1,192,195","1,271,587","1,373,893","1,472,045"
,"Private occupied dwellings in population centres 5 6","972,715","1,081,100","1,158,055","1,257,016","1,353,306"
,"Private occupied dwellings in rural areas 5 6","118,303","111,095","113,532","116,877","118,739"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","5.434","5.938","6.333","6.843","7.332"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.6","2.5","2.5","2.5","2.5"
,"Population per private occupied dwelling in population centres 5 6","2.6","2.5","2.5","2.5","2.5"
,"Population per private occupied dwelling in rural areas 5 6","2.7","2.6","2.6","2.5","2.5"
"Mount Logan (ecoregion)","Total population","0","0","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","0.0"
"Northern Coastal Mountains (ecoregion)","Total population","1,178","1,000","904","1,087","1,011"
,"Population in population centres 5","858","0","0","0","0"
,"Population in rural areas 5","320","1,000","904","1,087","1,011"
,"","Number per square kilometre",,,,
,"Total population density","0.044","0.037","0.034","0.040","0.038"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","72.8","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","27.2","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","389","379","355","404","394"
,"Private occupied dwellings in population centres 5 6","311","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","78","379","355","404","394"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.014","0.014","0.013","0.015","0.015"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.0","2.6","2.5","2.7","2.6"
,"Population per private occupied dwelling in population centres 5 6","2.8","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","4.1","2.6","2.5","2.7","2.6"
"Nass Basin (ecoregion)","Total population","1,737","1,573","1,786","1,489","1,673"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","1,737","1,573","1,786","1,489","1,673"
,"","Number per square kilometre",,,,
,"Total population density","0.327","0.296","0.336","0.281","0.315"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","490","443","560","476","539"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","490","443","560","476","539"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.092","0.083","0.106","0.090","0.102"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.5","3.6","3.2","3.1","3.1"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","3.5","3.6","3.2","3.1","3.1"
"Queen Charlotte Ranges (ecoregion)","Total population","2,536","2,411","2,136","2,036","2,127"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","2,536","2,411","2,136","2,036","2,127"
,"","Number per square kilometre",,,,
,"Total population density","0.367","0.348","0.309","0.294","0.307"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","997","1,054","943","898","943"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","997","1,054","943","898","943"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.144","0.152","0.136","0.130","0.136"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.5","2.3","2.3","2.3","2.3"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","2.5","2.3","2.3","2.3","2.3"
"Queen Charlotte Lowland (ecoregion)","Total population","3,062","2,524","2,676","2,334","2,071"
,"Population in population centres 5","1,266","0","0","0","0"
,"Population in rural areas 5","1,796","2,524","2,676","2,334","2,071"
,"","Number per square kilometre",,,,
,"Total population density","1.088","0.897","0.951","0.830","0.736"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","41.3","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","58.7","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","1,104","1,038","1,117","1,030","939"
,"Private occupied dwellings in population centres 5 6","462","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","642","1,038","1,117","1,030","939"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.392","0.369","0.397","0.366","0.334"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.8","2.4","2.4","2.3","2.2"
,"Population per private occupied dwelling in population centres 5 6","2.7","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","2.8","2.4","2.4","2.3","2.2"
"Nass Ranges (ecoregion)","Total population","26,644","25,564","23,910","23,784","23,817"
,"Population in population centres 5","17,596","16,795","15,415","15,569","13,663"
,"Population in rural areas 5","9,048","8,769","8,495","8,215","10,154"
,"","Number per square kilometre",,,,
,"Total population density","2.150","2.063","1.929","1.919","1.922"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","66.0","65.7","64.5","65.5","57.4"
,"Population in rural areas as a share of total population 5","34.0","34.3","35.5","34.5","42.6"
,"","Number",,,,
,"Private occupied dwellings 6","8,972","9,196","9,009","9,250","9,347"
,"Private occupied dwellings in population centres 5 6","6,076","6,167","5,976","6,240","5,492"
,"Private occupied dwellings in rural areas 5 6","2,896","3,029","3,033","3,010","3,855"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.724","0.742","0.727","0.746","0.754"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.0","2.8","2.7","2.6","2.5"
,"Population per private occupied dwelling in population centres 5 6","2.9","2.7","2.6","2.5","2.5"
,"Population per private occupied dwelling in rural areas 5 6","3.1","2.9","2.8","2.7","2.6"
"Coastal Gap (ecoregion)","Total population","36,349","32,784","29,360","27,986","27,478"
,"Population in population centres 5","27,184","24,876","19,728","18,884","18,127"
,"Population in rural areas 5","9,165","7,908","9,632","9,102","9,351"
,"","Number per square kilometre",,,,
,"Total population density","0.762","0.687","0.615","0.587","0.576"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","74.8","75.9","67.2","67.5","66.0"
,"Population in rural areas as a share of total population 5","25.2","24.1","32.8","32.5","34.0"
,"","Number",,,,
,"Private occupied dwellings 6","12,560","12,218","11,454","11,332","11,231"
,"Private occupied dwellings in population centres 5 6","9,557","9,309","7,883","7,789","7,515"
,"Private occupied dwellings in rural areas 5 6","3,003","2,909","3,571","3,543","3,716"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.263","0.256","0.240","0.238","0.235"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.9","2.7","2.6","2.5","2.4"
,"Population per private occupied dwelling in population centres 5 6","2.8","2.7","2.5","2.4","2.4"
,"Population per private occupied dwelling in rural areas 5 6","3.1","2.7","2.7","2.6","2.5"
"Pacific Ranges (ecoregion)","Total population","43,442","46,201","48,840","50,668","58,132"
,"Population in population centres 5","28,206","32,915","34,271","34,626","34,087"
,"Population in rural areas 5","15,236","13,286","14,569","16,042","24,045"
,"","Number per square kilometre",,,,
,"Total population density","0.760","0.808","0.854","0.886","1.017"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","64.9","71.2","70.2","68.3","58.6"
,"Population in rural areas as a share of total population 5","35.1","28.8","29.8","31.7","41.4"
,"","Number",,,,
,"Private occupied dwellings 6","16,009","18,471","19,167","19,608","22,191"
,"Private occupied dwellings in population centres 5 6","10,395","13,296","13,480","13,421","13,136"
,"Private occupied dwellings in rural areas 5 6","5,614","5,175","5,687","6,187","9,055"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.280","0.323","0.335","0.343","0.388"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.7","2.5","2.5","2.6","2.6"
,"Population per private occupied dwelling in population centres 5 6","2.7","2.5","2.5","2.6","2.6"
,"Population per private occupied dwelling in rural areas 5 6","2.7","2.6","2.6","2.6","2.7"
"Western Vancouver Island (ecoregion)","Total population","20,927","18,934","17,698","17,626","17,460"
,"Population in population centres 5","12,091","10,347","8,757","8,914","7,283"
,"Population in rural areas 5","8,836","8,587","8,941","8,712","10,177"
,"","Number per square kilometre",,,,
,"Total population density","1.120","1.014","0.947","0.944","0.935"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","57.8","54.6","49.5","50.6","41.7"
,"Population in rural areas as a share of total population 5","42.2","45.4","50.5","49.4","58.3"
,"","Number",,,,
,"Private occupied dwellings 6","7,450","7,531","7,007","7,213","7,357"
,"Private occupied dwellings in population centres 5 6","4,279","4,082","3,518","3,695","3,126"
,"Private occupied dwellings in rural areas 5 6","3,171","3,449","3,489","3,518","4,231"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.399","0.403","0.375","0.386","0.394"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.8","2.5","2.5","2.4","2.4"
,"Population per private occupied dwelling in population centres 5 6","2.8","2.5","2.5","2.4","2.3"
,"Population per private occupied dwelling in rural areas 5 6","2.8","2.5","2.6","2.5","2.4"
"Eastern Vancouver Island (ecoregion)","Total population","607,963","619,727","659,337","690,863","730,655"
,"Population in population centres 5","485,684","518,674","554,668","583,982","623,536"
,"Population in rural areas 5","122,279","101,053","104,669","106,881","107,119"
,"","Number per square kilometre",,,,
,"Total population density","48.130","49.062","52.198","54.693","57.844"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","79.9","83.7","84.1","84.5","85.3"
,"Population in rural areas as a share of total population 5","20.1","16.3","15.9","15.5","14.7"
,"","Number",,,,
,"Private occupied dwellings 6","248,831","265,172","284,229","302,557","321,089"
,"Private occupied dwellings in population centres 5 6","202,686","224,423","242,027","258,281","276,475"
,"Private occupied dwellings in rural areas 5 6","46,145","40,749","42,202","44,276","44,614"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","19.699","20.993","22.501","23.952","25.420"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.4","2.3","2.3","2.3","2.3"
,"Population per private occupied dwelling in population centres 5 6","2.4","2.3","2.3","2.3","2.3"
,"Population per private occupied dwelling in rural areas 5 6","2.6","2.5","2.5","2.4","2.4"
"Georgia-Puget Basin (ecoregion)","Total population","24,668","24,795","26,796","26,841","27,424"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","24,668","24,795","26,796","26,841","27,424"
,"","Number per square kilometre",,,,
,"Total population density","18.219","18.312","19.790","19.823","20.254"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","11,021","12,259","12,676","13,020","13,510"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","11,021","12,259","12,676","13,020","13,510"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","8.140","9.054","9.362","9.616","9.978"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.2","2.0","2.1","2.1","2.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","2.2","2.0","2.1","2.1","2.0"
"Lower Mainland (ecoregion)","Total population","2,078,862","2,251,571","2,401,007","2,620,348","2,786,670"
,"Population in population centres 5","1,950,697","2,139,118","2,292,314","2,510,767","2,687,359"
,"Population in rural areas 5","128,165","112,453","108,693","109,581","99,311"
,"","Number per square kilometre",,,,
,"Total population density","462.899","501.356","534.631","583.471","620.506"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","93.8","95.0","95.5","95.8","96.4"
,"Population in rural areas as a share of total population 5","6.2","5.0","4.5","4.2","3.6"
,"","Number",,,,
,"Private occupied dwellings 6","782,855","864,313","924,666","1,007,541","1,083,694"
,"Private occupied dwellings in population centres 5 6","738,949","823,823","885,171","967,590","1,047,562"
,"Private occupied dwellings in rural areas 5 6","43,906","40,490","39,495","39,951","36,132"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","174.318","192.456","205.895","224.348","241.305"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.7","2.6","2.6","2.6","2.6"
,"Population per private occupied dwelling in population centres 5 6","2.6","2.6","2.6","2.6","2.6"
,"Population per private occupied dwelling in rural areas 5 6","2.9","2.8","2.8","2.7","2.7"
"Cascade Mountains (ecoregion)","Total population","921","325","1,330","1,808","2,622"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","921","325","1,330","1,808","2,622"
,"","Number per square kilometre",,,,
,"Total population density","2.973","1.049","4.293","5.837","8.464"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","340","121","404","564","811"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","340","121","404","564","811"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","1.098","0.391","1.304","1.821","2.618"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.7","2.7","3.3","3.2","3.2"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","2.7","2.7","3.3","3.2","3.2"
"Montane Cordillera (ecozone)","Total population","846,888","854,894","868,190","905,260","938,294"
,"Population in population centres 5","519,533","556,295","571,618","603,221","622,664"
,"Population in rural areas 5","327,355","298,599","296,572","302,039","315,630"
,"","Number per square kilometre",,,,
,"Total population density","1.823","1.841","1.869","1.949","2.020"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","61.3","65.1","65.8","66.6","66.4"
,"Population in rural areas as a share of total population 5","38.7","34.9","34.2","33.4","33.6"
,"","Number",,,,
,"Private occupied dwellings 6","323,228","347,177","359,697","379,182","397,771"
,"Private occupied dwellings in population centres 5 6","203,939","230,067","240,936","256,164","265,919"
,"Private occupied dwellings in rural areas 5 6","119,289","117,110","118,761","123,018","131,852"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.696","0.748","0.774","0.816","0.856"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.6","2.5","2.4","2.4","2.4"
,"Population per private occupied dwelling in population centres 5 6","2.5","2.4","2.4","2.4","2.3"
,"Population per private occupied dwelling in rural areas 5 6","2.7","2.5","2.5","2.5","2.4"
"Skeena Mountains (ecoregion)","Total population","0","701","447","639","520"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","701","447","639","520"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.032","0.020","0.029","0.023"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","266","185","268","233"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","266","185","268","233"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.012","0.008","0.012","0.010"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","2.6","2.4","2.4","2.2"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","2.6","2.4","2.4","2.2"
"Omineca Mountains (ecoregion)","Total population","5,331","4,763","3,994","2,559","2,733"
,"Population in population centres 5","4,685","4,199","3,625","2,169","2,225"
,"Population in rural areas 5","646","564","369","390","508"
,"","Number per square kilometre",,,,
,"Total population density","0.162","0.145","0.121","0.078","0.083"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","87.9","88.2","90.8","84.8","81.4"
,"Population in rural areas as a share of total population 5","12.1","11.8","9.2","15.2","18.6"
,"","Number",,,,
,"Private occupied dwellings 6","1,687","1,702","1,550","1,112","1,198"
,"Private occupied dwellings in population centres 5 6","1,520","1,500","1,419","969","989"
,"Private occupied dwellings in rural areas 5 6","167","202","131","143","209"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.051","0.052","0.047","0.034","0.036"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.2","2.8","2.6","2.3","2.3"
,"Population per private occupied dwelling in population centres 5 6","3.1","2.8","2.6","2.2","2.2"
,"Population per private occupied dwelling in rural areas 5 6","3.9","2.8","2.8","2.7","2.4"
"Central Canadian Rocky Mountains (ecoregion)","Total population","3,268","1,406","1,199","1,694","1,365"
,"Population in population centres 5","1,582","395","246","1,002","676"
,"Population in rural areas 5","1,686","1,011","953","692","689"
,"","Number per square kilometre",,,,
,"Total population density","0.092","0.039","0.034","0.048","0.038"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","48.4","28.1","20.5","59.1","49.5"
,"Population in rural areas as a share of total population 5","51.6","71.9","79.5","40.9","50.5"
,"","Number",,,,
,"Private occupied dwellings 6","1,066","469","361","674","588"
,"Private occupied dwellings in population centres 5 6","523","148","97","431","315"
,"Private occupied dwellings in rural areas 5 6","543","321","264","243","273"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.030","0.013","0.010","0.019","0.016"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.1","3.0","3.3","2.5","2.3"
,"Population per private occupied dwelling in population centres 5 6","3.0","2.7","2.5","2.3","2.1"
,"Population per private occupied dwelling in rural areas 5 6","3.1","3.1","3.6","2.8","2.5"
"Bulkley Ranges (ecoregion)","Total population","1,060","808","605","893","563"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","1,060","808","605","893","563"
,"","Number per square kilometre",,,,
,"Total population density","0.377","0.287","0.215","0.318","0.200"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","324","267","235","333","210"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","324","267","235","333","210"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.115","0.095","0.084","0.118","0.075"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.3","3.0","2.6","2.7","2.7"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","3.3","3.0","2.6","2.7","2.7"
"Fraser Plateau (ecoregion)","Total population","76,092","74,718","72,251","69,966","68,203"
,"Population in population centres 5","27,836","28,358","26,813","26,787","24,867"
,"Population in rural areas 5","48,256","46,360","45,438","43,179","43,336"
,"","Number per square kilometre",,,,
,"Total population density","0.879","0.863","0.835","0.808","0.788"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","36.6","38.0","37.1","38.3","36.5"
,"Population in rural areas as a share of total population 5","63.4","62.0","62.9","61.7","63.5"
,"","Number",,,,
,"Private occupied dwellings 6","27,019","28,319","28,567","28,477","28,454"
,"Private occupied dwellings in population centres 5 6","10,219","10,956","10,764","10,962","10,359"
,"Private occupied dwellings in rural areas 5 6","16,800","17,363","17,803","17,515","18,095"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.312","0.327","0.330","0.329","0.329"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.8","2.6","2.5","2.5","2.4"
,"Population per private occupied dwelling in population centres 5 6","2.7","2.6","2.5","2.4","2.4"
,"Population per private occupied dwelling in rural areas 5 6","2.9","2.7","2.6","2.5","2.4"
"Fraser Basin (ecoregion)","Total population","121,547","116,947","111,805","115,931","119,019"
,"Population in population centres 5","83,187","83,104","80,259","82,478","80,121"
,"Population in rural areas 5","38,360","33,843","31,546","33,453","38,898"
,"","Number per square kilometre",,,,
,"Total population density","2.833","2.726","2.606","2.702","2.774"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","68.4","71.1","71.8","71.1","67.3"
,"Population in rural areas as a share of total population 5","31.6","28.9","28.2","28.9","32.7"
,"","Number",,,,
,"Private occupied dwellings 6","42,995","44,417","44,266","46,983","48,790"
,"Private occupied dwellings in population centres 5 6","29,938","31,963","32,124","33,896","33,410"
,"Private occupied dwellings in rural areas 5 6","13,057","12,454","12,142","13,087","15,380"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","1.002","1.035","1.032","1.095","1.137"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.8","2.6","2.5","2.5","2.4"
,"Population per private occupied dwelling in population centres 5 6","2.8","2.6","2.5","2.4","2.4"
,"Population per private occupied dwelling in rural areas 5 6","2.9","2.7","2.6","2.6","2.5"
"Chilcotin Ranges (ecoregion)","Total population","532","432","350","329","429"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","532","432","350","329","429"
,"","Number per square kilometre",,,,
,"Total population density","0.048","0.039","0.031","0.029","0.038"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","179","161","135","127","187"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","179","161","135","127","187"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.016","0.014","0.012","0.011","0.017"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.0","2.7","2.6","2.6","2.3"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","3.0","2.7","2.6","2.6","2.3"
"Columbia Mountains and Highlands (ecoregion)","Total population","65,155","64,993","65,188","65,497","67,874"
,"Population in population centres 5","28,239","26,720","26,101","26,892","25,525"
,"Population in rural areas 5","36,916","38,273","39,087","38,605","42,349"
,"","Number per square kilometre",,,,
,"Total population density","0.768","0.766","0.769","0.772","0.800"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","43.3","41.1","40.0","41.1","37.6"
,"Population in rural areas as a share of total population 5","56.7","58.9","60.0","58.9","62.4"
,"","Number",,,,
,"Private occupied dwellings 6","25,942","28,035","28,796","29,054","30,822"
,"Private occupied dwellings in population centres 5 6","11,602","11,688","11,806","12,109","11,761"
,"Private occupied dwellings in rural areas 5 6","14,340","16,347","16,990","16,945","19,061"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.306","0.331","0.339","0.343","0.363"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.5","2.3","2.3","2.3","2.2"
,"Population per private occupied dwelling in population centres 5 6","2.4","2.3","2.2","2.2","2.2"
,"Population per private occupied dwelling in rural areas 5 6","2.6","2.3","2.3","2.3","2.2"
"Western Continental Ranges (ecoregion)","Total population","1,711","3,064","2,868","2,300","2,662"
,"Population in population centres 5","0","282","65","0","0"
,"Population in rural areas 5","1,711","2,782","2,803","2,300","2,662"
,"","Number per square kilometre",,,,
,"Total population density","0.072","0.129","0.121","0.097","0.112"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","9.2","2.3","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","90.8","97.7","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","616","1,302","1,169","987","1,169"
,"Private occupied dwellings in population centres 5 6","0","120","28","0","0"
,"Private occupied dwellings in rural areas 5 6","616","1,182","1,141","987","1,169"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.026","0.055","0.049","0.042","0.049"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.8","2.4","2.5","2.3","2.3"
,"Population per private occupied dwelling in population centres 5 6","0.0","2.4","2.3","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","2.8","2.4","2.5","2.3","2.3"
"Eastern Continental Ranges (ecoregion)","Total population","6,071","6,372","6,019","6,559","7,289"
,"Population in population centres 5","3,815","4,757","3,673","3,560","3,948"
,"Population in rural areas 5","2,256","1,615","2,346","2,999","3,341"
,"","Number per square kilometre",,,,
,"Total population density","0.166","0.175","0.165","0.180","0.200"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","62.8","74.7","61.0","54.3","54.2"
,"Population in rural areas as a share of total population 5","37.2","25.3","39.0","45.7","45.8"
,"","Number",,,,
,"Private occupied dwellings 6","1,837","2,230","2,072","2,021","2,293"
,"Private occupied dwellings in population centres 5 6","1,467","1,810","1,472","1,307","1,491"
,"Private occupied dwellings in rural areas 5 6","370","420","600","714","802"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.050","0.061","0.057","0.055","0.063"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.3","2.9","2.9","3.2","3.2"
,"Population per private occupied dwelling in population centres 5 6","2.6","2.6","2.5","2.7","2.6"
,"Population per private occupied dwelling in rural areas 5 6","6.1","3.8","3.9","4.2","4.2"
"Interior Transition Ranges (ecoregion)","Total population","7,729","7,732","7,564","7,645","6,734"
,"Population in population centres 5","1,988","2,574","2,111","2,068","1,560"
,"Population in rural areas 5","5,741","5,158","5,453","5,577","5,174"
,"","Number per square kilometre",,,,
,"Total population density","0.525","0.526","0.514","0.520","0.458"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","25.7","33.3","27.9","27.1","23.2"
,"Population in rural areas as a share of total population 5","74.3","66.7","72.1","72.9","76.8"
,"","Number",,,,
,"Private occupied dwellings 6","2,790","3,060","3,084","3,225","2,944"
,"Private occupied dwellings in population centres 5 6","785","1,086","893","952","744"
,"Private occupied dwellings in rural areas 5 6","2,005","1,974","2,191","2,273","2,200"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.190","0.208","0.210","0.219","0.200"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.8","2.5","2.5","2.4","2.3"
,"Population per private occupied dwelling in population centres 5 6","2.5","2.4","2.4","2.2","2.1"
